
StudentId,FirstName,LastName,GPA,Major,FacultyAdvisor,Address,City,State,ZipCode,MobilePhoneNumber,isDeleted
0,Susan,Rodriguez,3.3,History,N/A,77449 Walker Plain Apt. 996,West Jeffreymouth,Illinois,56473,642-308-7814,0
0,Adam,Terry,1.4,Computer Science,N/A,96592 Gabrielle Ways Apt. 961,Maryton,Kansas,49225,(112)975-8156x84902,0
0,Kristen,Parker,3.1,Physics,N/A,942 Taylor Terrace,Lake Jasonshire,Kentucky,89532,+1-690-661-1697x7725,0
0,Steven,Grant,1.1,Math,N/A,7641 Martinez Centers Apt. 843,North Mercedesfort,Michigan,4008,916-980-2198,0
0,Amy,Underwood,3.3,Computer Science,N/A,817 Hobbs Plaza,Reevesside,Utah,73444,119-090-1020x304,0
0,Vanessa,Peck,1.4,Physics,N/A,7667 Spencer Squares Apt. 898,South Andrewborough,North Carolina,26176,001-113-757-8230x93707,0
0,Susan,Davila,4.4,Computer Science,N/A,88679 Nelson Harbors,Jimeneztown,Florida,86744,+1-397-821-2973x38417,0
0,Karen,Robertson,4.1,Communications,N/A,81942 Brandon Mill Apt. 722,North Carrieville,Maine,67714,001-461-839-9617x7282,0
0,Kristen,Bryant,1.3,Computer Science,N/A,95727 Robinson Village Apt. 503,East Pamela,Nebraska,17339,+1-880-362-2687x24345,0
0,William,Tran,2.3,Computer Science,N/A,92201 Jill Groves Apt. 290,Andersonberg,Florida,78982,422-202-7730x89905,0
0,Sherry,Sutton,1.2,Communications,N/A,8498 Davis Roads,North William,Louisiana,62425,(153)978-4166,0
0,Daniel,Adams,2.4,Physics,N/A,99255 Lang Walks,New Ariana,Tennessee,24905,061.924.7618x03321,0
0,Robert,Garcia,3.5,Communications,N/A,5416 Megan Burgs,Port Courtneyport,Wyoming,69654,497-130-3601,0
0,Monique,Cook,1.4,Math,N/A,949 Carrie Plaza Apt. 333,New Tammy,Kentucky,50169,(955)013-3928x5487,0
0,Joseph,Gomez,4.0,Math,N/A,9664 Wilkerson Passage,Huffton,Mississippi,22719,331.751.4609x1028,0
0,April,Roy,1.4,Communications,N/A,26741 Hernandez Stream,East Laurie,North Carolina,22002,+1-384-513-0308x918,0
0,Jeffrey,Stevens,2.2,Math,N/A,2850 Christopher Ports,Carterberg,Nevada,30137,589-533-1070x69287,0
0,Steven,Morales,3.2,Computer Science,N/A,18671 Bruce Station Apt. 491,Juliaside,Utah,24214,001-334-945-5458,0
0,Pamela,Medina,2.2,Computer Science,N/A,01490 Campbell Trail Suite 532,North Elizabethfort,Hawaii,60761,243.965.8736x3847,0
0,Joseph,Waller,4.1,Physics,N/A,49730 Sandoval Circle,South Jeremy,Nevada,66602,145.933.7139x1815,0
0,Jennifer,Rivera,3.0,Physics,N/A,247 Mendoza Islands,Laurenshire,Vermont,79119,001-670-319-4982x29268,0
0,Bill,Daniel,1.4,Computer Science,N/A,00040 Steven Viaduct,Christopherborough,South Dakota,83570,001-287-632-0972x10775,0
0,Kristina,Anderson,4.1,Computer Science,N/A,5083 Susan Inlet Suite 401,Debratown,New Hampshire,96129,508.546.3374x280,0
0,Casey,Robertson,3.4,Math,N/A,727 Tiffany Dale,Lake Shelia,Wyoming,61208,909.796.0912x45265,0
0,Kevin,Hall,3.5,Communications,N/A,46040 Garcia Common,West Jacquelinemouth,Utah,4432,371-799-7529,0
0,Jeffrey,Snow,2.1,History,N/A,7408 Walker Heights Apt. 635,New Tonya,Vermont,12808,826.419.5624x733,0
0,Jeremy,Brown,1.5,Computer Science,N/A,25147 Patterson Pass,Lake Deborahshire,North Dakota,7404,(140)409-2324x724,0
0,Stephanie,Reed,3.0,Communications,N/A,4791 Barnett Point,West James,Hawaii,94543,610.787.2988,0
0,Denise,Martinez,2.5,Physics,N/A,03255 Serrano Unions Apt. 443,North Donaldmouth,Colorado,34671,001-610-245-6820x992,0
0,Brandi,Marquez,3.1,Physics,N/A,040 Lopez Locks Suite 048,Caseyhaven,Colorado,37713,001-334-875-5570,0
0,Kevin,Torres,4.4,Computer Science,N/A,03178 Joseph Bridge,South Kristin,Oklahoma,17272,187.184.3926x036,0
0,John,Tyler,1.0,History,N/A,208 Kennedy Avenue,Michaelview,Pennsylvania,44397,645611621,0
0,Debra,Park,4.3,Communications,N/A,446 Michael Expressway Suite 846,Lake Robertport,New Hampshire,97602,709-050-3739,0
0,Dennis,Wood,3.2,Communications,N/A,83844 David Locks Apt. 902,Port Gregory,Alabama,51696,+1-291-528-4225,0
0,Timothy,Kennedy,1.2,Physics,N/A,15898 Kylie Coves Apt. 187,South Joseside,Louisiana,57642,(038)683-9114x7594,0
0,Julia,Willis,3.1,Communications,N/A,306 Rachel Mission,Rachelport,Idaho,8648,+1-371-535-3746x12871,0
0,Greg,Shah,2.1,Computer Science,N/A,710 Brandon Views,West Erin,Kansas,47557,5043934355,0
0,Christopher,Chen,4.2,Computer Science,N/A,84755 Daniel Villages Suite 381,New Robertborough,Idaho,81216,913.959.1178,0
0,Sylvia,Lucas,3.1,Computer Science,N/A,176 Linda Curve,Robertoshire,Texas,62954,001-205-954-0961,0
0,Kristy,Martinez,1.4,Physics,N/A,2216 Vincent Forks,Palmerchester,Georgia,28710,083.217.4224,0
0,Elizabeth,Mckinney,1.0,Physics,N/A,33858 Suzanne Haven,North Crystal,Mississippi,21021,+1-872-983-7145x97293,0
0,Philip,Hendrix,3.0,Communications,N/A,6535 Lauren Mill,Lake Brian,Hawaii,28541,6289936900,0
0,Jessica,Hernandez,3.0,Physics,N/A,33745 Rodriguez Rest Apt. 791,South Ashleyview,Maryland,1158,001-921-047-7571x63731,0
0,Timothy,David,1.1,Physics,N/A,605 Bryan Pass,East Deborah,Washington,50158,(040)351-0736,0
0,Amanda,Thomas,4.0,Computer Science,N/A,174 Marks Islands,South Christopher,Colorado,15777,001-275-839-3916x1004,0
0,Austin,Ho,2.2,Communications,N/A,56618 Gina Gateway,Kimberlystad,North Carolina,28998,339-510-3979,0
0,Abigail,Peterson,2.0,Physics,N/A,21657 Sanders Loaf,Matthewburgh,Nebraska,99149,097.102.5918,0
0,Jerry,Reyes,2.2,Communications,N/A,55330 Jesus Track,Meyersbury,West Virginia,38155,602-572-9054,0
0,Nathan,Gibson,1.5,History,N/A,5978 Deanna Wells,North Michellemouth,Delaware,50444,877-911-9705,0
0,Elizabeth,Castillo,1.3,Communications,N/A,22916 Dennis Viaduct,Anthonyburgh,New Jersey,33694,+1-147-052-8489,0
0,Shelby,Krause,1.4,Math,N/A,6439 Emily Lights Suite 563,Christinabury,Connecticut,90738,732-958-7513x0001,0
0,Jessica,Liu,3.2,Math,N/A,5971 Flowers Knolls,Lake Nathan,Hawaii,9249,+1-620-102-1890x26358,0
0,Leah,Taylor,3.2,Math,N/A,821 Fernandez Creek,Carlsonborough,Washington,54630,751.929.5102x37359,0
0,Kathleen,Henderson,2.3,History,N/A,33375 Stephenson Common Apt. 568,Port Felicia,Hawaii,12573,+1-746-851-0338,0
0,Amanda,Todd,2.4,Computer Science,N/A,6579 Barrett Valleys Apt. 618,Stewarthaven,Missouri,33736,796.708.0361,0
0,Danny,Soto,4.5,Communications,N/A,129 Gerald Course Suite 749,East Gary,New Hampshire,2453,+1-541-587-5178x393,0
0,Elizabeth,Owen,3.4,Computer Science,N/A,00674 Timothy Burgs,Neilhaven,Mississippi,56383,(283)407-2201,0
0,Joel,Kim,1.2,Physics,N/A,236 Wells Keys,Port Patrickshire,Rhode Island,55711,+1-628-214-5438x49502,0
0,Amy,Gregory,3.1,Physics,N/A,374 Yang Parkway Apt. 262,South Dominique,Mississippi,40824,001-173-486-2181x12950,0
0,Tina,Bird,3.2,Communications,N/A,25760 Fred Place Suite 497,Fullerstad,Georgia,97241,264.046.3130,0
0,Eric,Evans,2.4,Math,N/A,594 Young Burg,South Chris,Oregon,1401,959-674-9299x99268,0
0,Kendra,Bradley,3.3,History,N/A,660 Gonzalez Walk,Andrewfurt,Alabama,99542,695.535.7989,0
0,Aaron,Stevenson,4.2,History,N/A,653 Combs Bypass Suite 645,South Jesus,Virginia,39003,+1-093-388-3113x89318,0
0,Paula,Monroe,2.4,Physics,N/A,782 Mario Inlet,New Kimberlyside,Pennsylvania,24664,903.949.8085,0
0,Jennifer,Castillo,2.2,Computer Science,N/A,2069 Christopher Way Apt. 611,Clarktown,Tennessee,86586,001-249-872-7670x15752,0
0,Andrew,Morris,3.4,Communications,N/A,615 Dakota Field,New Nathanielville,Utah,81662,001-234-582-9921x52597,0
0,Kelsey,Summers,2.1,Physics,N/A,8738 Dawn Wells Suite 994,Wilsonland,Nebraska,30290,820-531-2403x8640,0
0,Gina,Nguyen,1.4,Physics,N/A,40471 Perry Track,Lake Frank,West Virginia,40795,(677)425-6604,0
0,Ashley,Allen,3.3,Math,N/A,8443 William Cliffs Apt. 414,Jonesfort,Mississippi,60347,268-779-3562x11031,0
0,Susan,Nichols,4.0,Math,N/A,327 Weber Station Suite 970,North Charles,West Virginia,63769,361.218.6441x11239,0
0,Jennifer,Winters,2.5,History,N/A,4521 Catherine Road,Jonathanborough,Indiana,995,001-669-287-6226x520,0
0,Julia,Roberts,2.2,Communications,N/A,4107 David Mountain Apt. 959,Danielport,Michigan,18285,(588)792-0765,0
0,Matthew,Johnson,2.1,Computer Science,N/A,17569 Jonathan Viaduct,Lake Jacob,Nebraska,24742,406-136-8102x54516,0
0,Brian,Nichols,3.3,Physics,N/A,0148 Cody Way Suite 331,Gonzalezburgh,Wyoming,7770,001-400-963-6211x72178,0
0,Shelby,Shaw,4.4,Math,N/A,7276 Bailey Radial Apt. 932,Jeremyburgh,Wisconsin,9606,(506)815-3643x0200,0
0,Daniel,Nash,2.2,History,N/A,300 Rodriguez Squares Suite 958,East Jennifer,West Virginia,8153,103-681-0725x610,0
0,Heather,Scott,2.0,Math,N/A,6292 Brittany Lakes Apt. 114,North Darrenland,New York,6518,001-438-852-4454x417,0
0,Michelle,Campbell,3.0,Communications,N/A,39924 Timothy View,Katieside,North Dakota,43104,933-524-0533,0
0,Kelly,Church,2.0,Math,N/A,016 Darryl Port Suite 926,Sylviabury,Vermont,17033,241.734.5918x62623,0
0,Daniel,Griffith,2.1,History,N/A,2563 Goodman Fork,Coxview,West Virginia,91920,+1-283-481-2461x596,0
0,Matthew,Hurley,2.0,Physics,N/A,25795 Mcbride Village Suite 092,East Bryanmouth,West Virginia,24588,+1-334-768-2599,0
0,Thomas,Pratt,2.1,Communications,N/A,24315 Michael Orchard Apt. 224,Veronicaside,Massachusetts,19368,1804192483,0
0,Melanie,Francis,1.0,Physics,N/A,6658 Beth Road Suite 318,North Christinaberg,Louisiana,39193,1250312561,0
0,William,Burnett,4.4,Computer Science,N/A,2697 Garza Trace,Theresaburgh,Hawaii,36305,001-740-949-1650x94453,0
0,Lisa,Jimenez,2.5,Math,N/A,6329 Stacie Ramp,Julianville,Minnesota,45296,(316)582-7723x07850,0
0,Thomas,Taylor,2.4,History,N/A,7984 Julie Way,Rodriguezport,Maryland,14843,001-817-499-4722x098,0
0,Sharon,Bates,1.2,Computer Science,N/A,302 Tanner Heights,Fryeland,Louisiana,72111,+1-089-849-4382x225,0
0,Kristen,Garcia,4.4,Computer Science,N/A,58144 Raymond Summit,Mcgrathview,New Jersey,38417,5666340549,0
0,Christopher,Scott,4.0,Physics,N/A,38426 Donald Crescent Apt. 062,Martinezshire,Delaware,46271,+1-138-342-0184x08478,0
0,Timothy,Frank,1.3,Physics,N/A,69604 Cantu Roads,Lake Michael,Missouri,15647,226.206.2918,0
0,Michael,Wright,3.0,Math,N/A,885 Quinn Brook,East Jimmyhaven,New Mexico,65674,9677173430,0
0,Emily,Vega,4.5,Computer Science,N/A,82482 Glover Mission Suite 489,New Troyhaven,Minnesota,67372,644.040.3314x7014,0
0,Jason,Clark,1.2,Math,N/A,1970 Bonnie Rapid,Lake Gary,Wisconsin,90713,001-003-808-6296x18205,0
0,Patrick,Stanley,2.1,History,N/A,94261 Tammy Neck,West Edwin,Rhode Island,31367,(364)177-0496x3244,0
0,Jack,Carlson,2.5,Math,N/A,56935 Kristie Mission,North Deniseside,Delaware,40147,001-198-887-3380,0
0,Allison,Castillo,1.3,Computer Science,N/A,571 House Lodge,Evansfort,Ohio,24766,+1-117-145-4811x0925,0
0,Justin,Miller,2.3,History,N/A,754 Laurie Centers,New Gregory,Idaho,72029,(250)790-5053x6767,0
0,Catherine,Lester,2.2,Computer Science,N/A,74311 Kelly Mountain,Gillhaven,Nevada,77369,444-818-9587x2094,0
0,Willie,Brown,2.3,Communications,N/A,43963 Timothy Tunnel Suite 809,Lake David,South Dakota,18900,+1-304-516-9267x21868,0
0,Melody,Blevins,3.2,Computer Science,N/A,317 Hernandez Circles Suite 621,Stephenmouth,Missouri,83112,760-093-0849,0
